UF, Data, Mortes
PB, 15-mar-20, 0
PE, 15-mar-20, 0
PI, 15-mar-20, 0
PR, 15-mar-20, 0
RJ, 15-mar-20, 0
RN, 15-mar-20, 0
RO, 15-mar-20, 0
RR, 15-mar-20, 0
RS, 15-mar-20, 0
SC, 15-mar-20, 0
SE, 15-mar-20, 0
SP, 15-mar-20, 0
TO, 15-mar-20, 0
AC, 16-mar-20, 0
AL, 16-mar-20, 0
AM, 16-mar-20, 0
AP, 16-mar-20, 0
BA, 16-mar-20, 0
CE, 16-mar-20, 0
DF, 16-mar-20, 0
ES, 16-mar-20, 0
GO, 16-mar-20, 0
MA, 16-mar-20, 0
MG, 16-mar-20, 0
MS, 16-mar-20, 0
MT, 16-mar-20, 0
PA, 16-mar-20, 0
PB, 16-mar-20, 0
PE, 16-mar-20, 0
PI, 16-mar-20, 0
PR, 16-mar-20, 0
RJ, 16-mar-20, 0
RN, 16-mar-20, 0
RO, 16-mar-20, 0
RR, 16-mar-20, 0
RS, 16-mar-20, 0
SC, 16-mar-20, 0
SE, 16-mar-20, 0
SP, 16-mar-20, 0
TO, 16-mar-20, 0
AC, 17-mar-20, 0
AL, 17-mar-20, 0
AM, 17-mar-20, 0
AP, 17-mar-20, 0
BA, 17-mar-20, 0
CE, 17-mar-20, 0
DF, 17-mar-20, 0
ES, 17-mar-20, 0
GO, 17-mar-20, 0
MA, 17-mar-20, 0
MG, 17-mar-20, 0
MS, 17-mar-20, 0
MT, 17-mar-20, 0
PA, 17-mar-20, 0
PB, 17-mar-20, 0
PE, 17-mar-20, 0
PI, 17-mar-20, 0
PR, 17-mar-20, 0
RJ, 17-mar-20, 0
RN, 17-mar-20, 0
RO, 17-mar-20, 0
RR, 17-mar-20, 0
RS, 17-mar-20, 0
SC, 17-mar-20, 0
SE, 17-mar-20, 0
SP, 17-mar-20, 1
TO, 17-mar-20, 0
AC, 18-mar-20, 0
AL, 18-mar-20, 0
AM, 18-mar-20, 0
AP, 18-mar-20, 0
BA, 18-mar-20, 0
CE, 18-mar-20, 0
DF, 18-mar-20, 0
ES, 18-mar-20, 0
GO, 18-mar-20, 0
MA, 18-mar-20, 0
MG, 18-mar-20, 0
MS, 18-mar-20, 0
MT, 18-mar-20, 0
PA, 18-mar-20, 0
PB, 18-mar-20, 0
PE, 18-mar-20, 0
PI, 18-mar-20, 0
PR, 18-mar-20, 0
RJ, 18-mar-20, 0
RN, 18-mar-20, 0
RO, 18-mar-20, 0
RR, 18-mar-20, 0
RS, 18-mar-20, 0
SC, 18-mar-20, 0
SE, 18-mar-20, 0
SP, 18-mar-20, 4
TO, 18-mar-20, 0
AC, 19-mar-20, 0
AL, 19-mar-20, 0
AM, 19-mar-20, 0
AP, 19-mar-20, 0
BA, 19-mar-20, 0
CE, 19-mar-20, 0
DF, 19-mar-20, 0
ES, 19-mar-20, 0
GO, 19-mar-20, 0
MA, 19-mar-20, 0
MG, 19-mar-20, 0
MS, 19-mar-20, 0
MT, 19-mar-20, 0
PA, 19-mar-20, 0
PB, 19-mar-20, 0
PE, 19-mar-20, 0
PI, 19-mar-20, 0
PR, 19-mar-20, 0
RJ, 19-mar-20, 2
RN, 19-mar-20, 0
RO, 19-mar-20, 0
RR, 19-mar-20, 0
RS, 19-mar-20, 0
SC, 19-mar-20, 0
SE, 19-mar-20, 0
SP, 19-mar-20, 5
TO, 19-mar-20, 0
AC, 20-mar-20, 0
AL, 20-mar-20, 0
AM, 20-mar-20, 0
AP, 20-mar-20, 0
BA, 20-mar-20, 0
CE, 20-mar-20, 0
DF, 20-mar-20, 0
ES, 20-mar-20, 0
GO, 20-mar-20, 0
MA, 20-mar-20, 0
MG, 20-mar-20, 0
MS, 20-mar-20, 0
MT, 20-mar-20, 0
PA, 20-mar-20, 0
PB, 20-mar-20, 0
PE, 20-mar-20, 0
PI, 20-mar-20, 0
PR, 20-mar-20, 0
RJ, 20-mar-20, 2
RN, 20-mar-20, 0
RO, 20-mar-20, 0
RR, 20-mar-20, 0
RS, 20-mar-20, 0
SC, 20-mar-20, 0
SE, 20-mar-20, 0
SP, 20-mar-20, 9
TO, 20-mar-20, 0
AC, 21-mar-20, 0
AL, 21-mar-20, 0
AM, 21-mar-20, 0
AP, 21-mar-20, 0
BA, 21-mar-20, 0
CE, 21-mar-20, 0
DF, 21-mar-20, 0
ES, 21-mar-20, 0
GO, 21-mar-20, 0
MA, 21-mar-20, 0
MG, 21-mar-20, 0
MS, 21-mar-20, 0
MT, 21-mar-20, 0
PA, 21-mar-20, 0
PB, 21-mar-20, 0
PE, 21-mar-20, 0
PI, 21-mar-20, 0
PR, 21-mar-20, 0
RJ, 21-mar-20, 3
RN, 21-mar-20, 0
RO, 21-mar-20, 0
RR, 21-mar-20, 0
RS, 21-mar-20, 0
SC, 21-mar-20, 0
SE, 21-mar-20, 0
SP, 21-mar-20, 15
TO, 21-mar-20, 0
AC, 22-mar-20, 0
AL, 22-mar-20, 0
AM, 22-mar-20, 0
AP, 22-mar-20, 0
BA, 22-mar-20, 0
CE, 22-mar-20, 0
DF, 22-mar-20, 0
ES, 22-mar-20, 0
GO, 22-mar-20, 0
MA, 22-mar-20, 0
MG, 22-mar-20, 0
MS, 22-mar-20, 0
MT, 22-mar-20, 0
PA, 22-mar-20, 0
PB, 22-mar-20, 0
PE, 22-mar-20, 0
PI, 22-mar-20, 0
PR, 22-mar-20, 0
RJ, 22-mar-20, 3
RN, 22-mar-20, 0
RO, 22-mar-20, 0
RR, 22-mar-20, 0
RS, 22-mar-20, 0
SC, 22-mar-20, 0
SE, 22-mar-20, 0
SP, 22-mar-20, 22
TO, 22-mar-20, 0
AC, 23-mar-20, 0
AL, 23-mar-20, 0
AM, 23-mar-20, 0
AP, 23-mar-20, 0
BA, 23-mar-20, 0
CE, 23-mar-20, 0
DF, 23-mar-20, 0
ES, 23-mar-20, 0
GO, 23-mar-20, 0
MA, 23-mar-20, 0
MG, 23-mar-20, 0
MS, 23-mar-20, 0
MT, 23-mar-20, 0
PA, 23-mar-20, 0
PB, 23-mar-20, 0
PE, 23-mar-20, 0
PI, 23-mar-20, 0
PR, 23-mar-20, 0
RJ, 23-mar-20, 4
RN, 23-mar-20, 0
RO, 23-mar-20, 0
RR, 23-mar-20, 0
RS, 23-mar-20, 0
SC, 23-mar-20, 0
SE, 23-mar-20, 0
SP, 23-mar-20, 30
TO, 23-mar-20, 0
AC, 24-mar-20, 0
AL, 24-mar-20, 0
AM, 24-mar-20, 0
AP, 24-mar-20, 0
BA, 24-mar-20, 0
CE, 24-mar-20, 0
DF, 24-mar-20, 0
ES, 24-mar-20, 0
GO, 24-mar-20, 0
MA, 24-mar-20, 0
MG, 24-mar-20, 0
MS, 24-mar-20, 0
MT, 24-mar-20, 0
PA, 24-mar-20, 0
PB, 24-mar-20, 0
PE, 24-mar-20, 0
PI, 24-mar-20, 0
PR, 24-mar-20, 0
RJ, 24-mar-20, 6
RN, 24-mar-20, 0
RO, 24-mar-20, 0
RR, 24-mar-20, 0
RS, 24-mar-20, 0
SC, 24-mar-20, 0
SE, 24-mar-20, 0
SP, 24-mar-20, 40
TO, 24-mar-20, 0
